site,v_t,lat_t,lon_t,v_s,lat_s,lon_s,log2_ratio
50.35_12.25,0.02818,50.3502,12.2488,0.03102,50.3502,12.2488,-0.1385270747264542
50.37_4.13,0.04541,50.3665,4.1345,0.02589,50.3665,4.1345,0.8106150715242229
50.38_10.44,0.1054,50.3824,10.4426,0.03077,50.3824,10.4426,1.7762785181910323
50.47_11.37,0.3146,50.47,11.3658,0.3614,50.47,11.3658,-0.2000778354489129
50.47_8.58,0.08339,50.47,8.58,0.05687,50.47,8.58,0.5522065839912678
50.4_15.41,0.07286,50.4,15.41,0.03187,50.4,15.41,1.1929279759649287
50.59_5.71,0.116,50.5909,5.7137,0.04123,50.5909,5.7137,1.4923584390142322
50.61_13.59,0.07119,50.61,13.59,0.03208,50.61,13.59,1.150000459460184
50.63_17.45,0.04019,50.633151,17.452098,0.00791,50.633151,17.452098,2.3450869775859533
50.64_15.82,0.1252,50.64,15.82,0.09289,50.64,15.82,0.43063936439218337
50.64_9.56,0.1222,50.6373,9.5648,0.0269,50.6373,9.5648,2.183566207262105
50.65_19.1,0.02367,50.652579,19.102582,0.02809,50.652579,19.102582,-0.2469969183917837
50.65_2.34,0.04523,50.65,2.34,0.01726,50.65,2.34,1.3898475314524559
50.73_13.56,0.1308,50.7332,13.5595,0.09586,50.7332,13.5595,0.4483616957664822
50.74_10.38,0.02574,50.7428,10.382,0.00946,50.7428,10.382,1.4440999648813064
50.74_14.74,0.1008,50.74,14.74,0.05148,50.74,14.74,0.9694116801665771
50.7_5.1,0.06704,50.6974,5.1049,0.01978,50.6974,5.1049,1.760979722940241
50.81_1.64,0.02271,50.81,1.64,0.01057,50.81,1.64,1.103352329324205
50.82_6.8,0.1276,50.8237,6.7958,0.09353,50.8237,6.7958,0.44812723643094554
50.86_11.37,0.04411,50.8575,11.3701,0.0106,50.8575,11.3701,2.057041495641656
