cohort_id,element_or_analyte,medium,sample_type,grain_fraction,measurement_basis,method_family,digestion_or_extraction,unit_layer,comparability_tier,n_quantified_records,n_censored_records,n_not_normalized_records,quantified_fraction,n_quantified_samples,n_sources,source_ids,dominant_source_id,dominant_source_share,n_with_coordinates,n_with_geology_match,workflow_band_high,workflow_band_medium,workflow_band_low,bbox_west,bbox_south,bbox_east,bbox_north,sampled_at_min,sampled_at_max
cohort-f6c18970aa9e,Zn,soil,soil_topsoil,mineral soil,gemas_protocol_multi_acid_digest_dry_mineral_soil,icp_ms,GEMAS protocol multi-acid digestion,mg/kg,single_lineage_ready,83,0,0,1.0,83,1,pangaea-amazonas-soil,pangaea-amazonas-soil,1.0,83,83,0,83,0,-67.1983,-9.75042,-50.97,-2.53317,2016-03-01,2017-02-27
cohort-bc5a90280e6d,Zn,water,water_river,,freshwater_dissolved_operational_fraction_mg_per_l,aas,GEMStat dissolved operational fraction,ug/L,exploratory_only,33,15,0,0.6875,33,1,gemstat-open-archive,gemstat-open-archive,1.0,33,0,0,48,0,-121.5019444,25.87638889,-74.77833333,40.22166667,1991-03-07T12:31,1997-01-07T11:20
cohort-bda375942de1,Zn,water,water_river,,freshwater_dissolved_operational_fraction_ug_per_l,icp_ms,GEMStat dissolved operational fraction,ug/L,single_lineage_ready,26,0,0,1.0,26,1,gemstat-open-archive,gemstat-open-archive,1.0,26,0,0,26,0,-117.6,49.02,-117.6,49.02,2010-03-22T11:33,2010-09-29T10:15
cohort-814ebeddeb3e,Zn,water,water_river,,freshwater_dissolved_operational_fraction_ug_per_l,other_dissolved_metals_with_in_bottle_digestion_using_inductively_coupled_plasma_sector_field_ms,GEMStat dissolved operational fraction,ug/L,single_lineage_ready,22,0,0,1.0,22,1,gemstat-open-archive,gemstat-open-archive,1.0,22,0,0,22,0,-117.6,49.02,-117.6,49.02,2009-08-03T00:00,2010-03-16T14:20
cohort-54bd6674c69e,Zn,water,water_river,,freshwater_extractable_operational_fraction_ug_per_l,other_extractable_metals_by_inductively_coupled_argon_plasma_mass_spectrometry_with_pneumatic_nebulization,GEMStat extractable operational fraction,ug/L,single_lineage_ready,59,0,0,1.0,59,1,gemstat-open-archive,gemstat-open-archive,1.0,59,0,0,59,0,-139.78,51.21,-116.44,67.58,2000-01-04T09:00,2003-02-10T11:35
cohort-3d89516bb890,Zn,water,water_river,,freshwater_total_operational_fraction_mg_per_l,aas,GEMStat total operational fraction,ug/L,exploratory_only,17,6,0,0.7391,17,1,gemstat-open-archive,gemstat-open-archive,1.0,17,0,0,23,0,-74.79527778,40.22166667,-74.77833333,45.00611111,1991-03-19T09:00,1997-01-29T11:00
cohort-ba39de5cb7cf,Zn,water,water_river,,freshwater_total_operational_fraction_mg_per_l,other_inductively_coupled_plasma_icp_method_total_metals_after_rigorous_digestion,GEMStat total operational fraction,ug/L,single_lineage_ready,116,22,0,0.8406,116,1,gemstat-open-archive,gemstat-open-archive,1.0,116,0,0,138,0,-137.97,51.21,-116.44,60.12,2000-01-04T09:00,2003-02-24T11:10
cohort-f915fe37135a,Zn,water,water_river,,freshwater_total_operational_fraction_mg_per_l,other_inductively_coupled_plasma_sector_field_mass_spectrometry_with_closed_vessel_digestion,GEMStat total operational fraction,ug/L,single_lineage_ready,43,0,0,1.0,43,1,gemstat-open-archive,gemstat-open-archive,1.0,43,0,0,43,0,-137.97,51.21,-117.7,60.12,2003-03-24T07:15,2004-06-14T08:35
cohort-b6d1cb41197c,Zn,water,water_river,,freshwater_total_operational_fraction_mg_per_l,other_total_metals_by_inductively_coupled_argon_plasma_emission_spectrometry_with_external_nebulizer,GEMStat total operational fraction,ug/L,single_lineage_ready,145,8,0,0.9477,145,1,gemstat-open-archive,gemstat-open-archive,1.0,145,0,0,153,0,-139.78,51.21,-116.44,67.58,2000-01-04T09:00,2003-02-24T11:10
cohort-1689adbe6a4e,Zn,water,water_river,,freshwater_total_operational_fraction_ug_per_l,icp_ms,GEMStat total operational fraction,ug/L,single_lineage_ready,278,2,0,0.9929,278,1,gemstat-open-archive,gemstat-open-archive,1.0,278,0,0,280,0,-139.78,51.21,-117.7,67.58,2010-03-08T10:15,2019-07-16T09:35
